_id,additional,firstName,lastName,role,fullName,gnd,occupation
660ac05b21b0fcd2e642908e,1826,Mad.,Stich,Donna Diana,Mad. Stich,,Schauspieler
6504166ba47588ad6024b070,,Wilhelm,Stich,Perin,"Stich, Heinrich Wilhelm",135674190,Schauspieler
6504166ba47588ad6024b075,1749-1783,Franz Ludwig Sebastian,Stierle,Morgenau,"Stierle, Franz Xaver",1329922034,Schauspieler
6504166ba47588ad6024b07a,1758-1799,Marie Henriette Wilhelmine,Stierle,Rosa,"Stierle, Marie Henriette Wilhelmine",1329922050,Schauspieler
6504166ba47588ad6024b585,,Karl von,Stigler,,"Stigler, Karl von",103678875X,Schauspieler
6504166ba47588ad6024b081,1921-1928,Senta,Stillmark,Drittes Sternchen,"Stillmark, Senta",1061561445,Schauspieler
6504166ba47588ad6024b08b,als Gast,Marie,Stolte,Johanna,"Stern, Marie",117287199,Schauspieler
658f02b451cd38b410089b43,1874-1950,Otto,Storm,Rechtsanwalt,"Storm, Otto",117290688,Schauspieler
6504166ba47588ad6024b091,,Friedrich,Stoss,Freiwillige,Friedrich Stoss,,Schauspieler
6504166ba47588ad6024b079,,Friedrich,Strampfer,Gomez,"Strampfer, Friedrich",1200564383,Schauspieler
6504166ba47588ad6024b07e,1825-1892,Marie,"Strassmann (Straßmann, auch Straßmann-Damböck))",Madame Michaud,"Damböck, Marie",116019832,Schauspieler
6504166ba47588ad6024b085,1868-1938,Fritz,Strassni,Erster Gast,"Straßni, Fritz",117308668,Schauspieler
6504166ba47588ad6024b08d,1864-1937,Julius,Strebinger,König,"Strebinger, Julius",117312835,Schauspieler
6716137e1154ae2a37b10089,,Catrin,Striebeck,Zweiter Bahnbeamter,"Striebeck, Catrin",122965817,Schauspieler
6504166ba47588ad6024b097,,Albert,Stritt,Egmont,"Stritt, Albert",117319139,Schauspieler
671613801154ae2a37b101c2,,Tom,Stromberg,basierend auf einer Idee von,"Stromberg, Tom",114767564,Schauspieler
6504166ba47588ad6024b0a7,,Amalie,Stubenrauch,"Donna Diana, Erbprinzessin","Stubenrauch, Amalie von",117353140,Schauspieler
6504166ba47588ad6024b58e,,Eugen von,Stubenrauch,Kostüme,Eugen von Stubenrauch,,Schauspieler
6504166ba47588ad6024b0a8,,Philipp von,Stubenrauch,Kostüme,"Stubenrauch, Philipp von",117353280,Schauspieler
66103b3421b0fcd2e687a10f,königl. Würtembergische Hofschauspielerin,Mlle.,Stubenrauch,Donna Diana,Mlle. Stubenrauch,,Schauspieler
6504166ba47588ad6024b0aa,,Theodor,Stumpfe,Fehmrichter,Theodor Stumpfe,,Schauspieler
6504166ba47588ad6024bc65,,Vera,Sturm,Kostüme,"Sturm, Vera",1047813890,Schauspieler
6504166ba47588ad6024b020,,Eugen,Stägemann (Stegemann),Egmont,"Staegemann, Eugen",117201642,Schauspieler
6504166ba47588ad6024b03b,1937,Herr,Stätter,Chor der Burschen,Herr Stätter,,Schauspieler
6504166ba47588ad6024b040,1882-1917,Paul,Stätter,Kempe,"Stätter, Paul Gottfried",1329911571,Schauspieler
6504166ba47588ad6024b041,1843-1913,Philipp,Stätter,Cleanthe,"Staetter, Philipp",1019650141,Schauspieler
6664befcde0d61d670d6ca3e,,S.,Sulzer,Gesang,"Sulzer, S.",1118770587,Schauspieler
6562176d0080658502cf3a86,,Julius,Sulzer,Musik,"Sulzer, Julius",142636738,Schauspieler
6504166ba47588ad6024b0a3,,Sonja,Sutter,Aus den Essays: Ein Dirigent,"Sutter, Sonja",133454002,Schauspieler
